"","Player","Nation","Age","Pos","Born","Squad","Comp","MP","Starts","Min","90s","CrdY","CrdR","npxG+xAG","G+A.1","G-PK.1","G+A-PK","xG+xAG","Gls.y","Sh.x","SoT%","SoT/90","G/Sh","G/SoT","Dist","FK.x","PKatt.y","xG.y","npxG.y","npxG/Sh","G-xG","np:G-xG","Cmp%","TotDist.x","PrgDist.x","Cmp.1","Att.1","Cmp%.1","Cmp.2","Att.2","Cmp%.2","Cmp.3","Att.3","Cmp%.3","Ast.y","xAG.y","xA","A-xAG","KP","1/3.x","PPA","CrsPA","PrgP.y","Att.y","Live.x","Dead","FK.y","TB","Sw","Crs","TI","CK","In","Out","Str","Cmp.y","Off","Blocks.x","SCA","PassLive","PassDead","TO","Sh.y","Fld","Def","GCA90","PassLive.1","PassDead.1","TO.1","Sh.1","Fld.1","Def.1","Tkl","TklW","Def 3rd.x","Mid 3rd.x","Att 3rd.x","Tkl.1","Att.x.x","Tkl%","Lost","Blocks.y","Sh","Pass","Int","Tkl+Int","Clr","Err","Def Pen","Def 3rd.y","Mid 3rd.y","Att 3rd.y","Att Pen","Live.y","Att.y.y","Succ","Succ%","Tkld","Tkld%","Carries","TotDist.y","PrgDist.y","PrgC.y","1/3.y","CPA","Mis","Dis","Rec","PrgR.y"
"1016","Philipp Lienhart","AUT",25,"DF",1996,"Freiburg","de Bundesliga",32,32,2870,31.9,0.06,0,0.12,0.16,0.16,0.16,0.12,0.16,0.6,36.8,0.22,0.26,0.71,9.2,0,0,0.1,0.1,0.19,0.05,0.05,84.9,1015.3,338,11.1,12.6,88.3,28.5,30.6,93.1,6.9,11,62.9,0,0.02,0.02,-0.02,0.13,2.54,0.16,0.03,3.17,55.1,53.1,1.91,1.69,0.03,0.63,0.25,0.22,0,0,0,0,46.7,0.09,0.34,0.82,0.6,0.06,0,0.13,0.03,0,0.03,0,0,0,0.03,0,0,0.75,0.41,0.53,0.19,0.03,0.41,0.75,54.2,0.34,1.03,0.72,0.31,1.57,2.32,4.95,0.03,8.56,36.8,27.2,1.94,0.78,65.5,0.16,0.13,80,0.03,20,37,221.2,110.1,0.5,0.19,0.06,0.6,0.09,39.7,0.19
"1017","Matthijs de Ligt","NED",21,"DF",1999,"Juventus","it Serie A",31,29,2674,29.7,0.13,0.03,0.09,0.13,0.1,0.13,0.09,0.1,0.67,50,0.34,0.15,0.3,13.4,0,0,0.05,0.05,0.08,0.05,0.05,88.6,1002.9,341.2,16.2,17.6,92.3,28.3,30.3,93.5,5.72,8.11,70.5,0.03,0.03,0.04,0,0.3,2.49,0.13,0.03,2.29,57.4,55.3,1.95,1.14,0.03,0.4,0.13,0.3,0,0,0,0,50.8,0.1,0.2,0.74,0.54,0,0.03,0.1,0.03,0.03,0.07,0.07,0,0,0,0,0,1.14,0.64,0.71,0.44,0,0.51,0.61,83.3,0.1,1.04,0.71,0.34,0.88,2.02,3.47,0,8.82,31.4,31.9,3.13,1.21,66.2,0.2,0.13,66.7,0.07,33.3,37.9,174.1,86.2,0.61,0.34,0,0.4,0.1,45.7,0.2
"1018","Victor Lindelöf","SWE",27,"DF",1994,"Manchester Utd","eng Premier League",28,26,2355,26.2,0.15,0,0.03,0.08,0,0.08,0.03,0,0.11,66.7,0.08,0,0,8.6,0,0,0.01,0.01,0.07,-0.01,-0.01,87.7,854.9,308,17.3,18.5,93,24.3,26.4,92.2,4.08,6.3,64.8,0.08,0.02,0.03,0.05,0.15,2.86,0.23,0,2.75,52.9,51.6,1.22,0.99,0.15,0.38,0,0.23,0,0,0,0,46.4,0.08,0.31,0.5,0.46,0,0,0,0,0.04,0.15,0.11,0,0,0,0,0.04,0.61,0.42,0.34,0.27,0,0.34,0.53,64.3,0.19,0.99,0.65,0.34,0.95,1.56,3.66,0,8.44,33.6,26,1.76,0.38,60.9,0.11,0.11,100,0,0,35.1,221.9,129.2,0.53,0.65,0.11,0.31,0.04,39.1,0.11
"1019","Jesper Lindstrøm","DEN",21,"MF",2000,"Eint Frankfurt","de Bundesliga",29,26,1976,22,0,0,0.61,0.41,0.23,0.41,0.62,0.23,2.45,33.3,0.82,0.09,0.28,17.1,0.14,0,0.36,0.36,0.15,-0.14,-0.14,70.4,271.6,71.8,10.2,12.8,79.7,5.73,7.91,72.4,1.32,2.64,50,0.18,0.25,0.22,-0.07,2.14,1.18,0.73,0.27,1.95,26.7,24.6,2.05,0.45,0.05,0.18,2.45,0.36,1.09,0.27,0.5,0,18.8,0,0.82,4.05,2.64,0.5,0.45,0.32,0.14,0,0.36,0.23,0.09,0,0.05,0,0,1.27,0.59,0.27,0.59,0.41,0.55,1.64,33.3,1.09,1.36,0,1.36,1.09,2.36,0.5,0.05,0.45,4.09,17.1,20.8,4.32,41.5,3.23,1.5,46.5,1.68,52.1,25.7,161.7,83.4,3.64,1.68,1.82,3.82,1.45,26.7,7
"1020","Karol Linetty","POL",26,"MF",1995,"Torino","it Serie A",16,11,896,10,0.2,0,0.22,0,0,0,0.23,0,1.3,15.4,0.2,0,0,19.6,0,0,0.07,0.07,0.06,-0.07,-0.07,78.1,304.5,76,12.5,15.1,82.8,7.6,9.2,82.6,0.7,1.3,53.8,0,0.15,0.09,-0.15,1.6,1.9,0.7,0,2.2,27.9,26.4,1.4,0.3,0,0.1,0.8,0.1,0.8,0,0.4,0,21.8,0.1,1.1,3.3,2.6,0.2,0.1,0.3,0,0.1,0.2,0.2,0,0,0,0,0,1.4,0.8,0.3,0.4,0.7,0.6,1.8,33.3,1.2,0.8,0,0.8,0.3,1.7,0.2,0,0.3,4.2,17.8,16.9,2.5,38.6,0.9,0.5,55.6,0.4,44.4,19.2,88.5,38.6,1,1.4,0.5,2.8,0.7,24.1,3.7
"1021","Jesse Lingard","ENG",28,"FW",1992,"Manchester Utd","eng Premier League",16,2,367,4.1,0.24,0,0.24,0.49,0.49,0.49,0.24,0.49,1.95,75,1.47,0.25,0.33,18.6,0,0,0.15,0.15,0.08,0.34,0.34,83.7,373.9,93.2,18.3,20.7,88.2,8.05,10,80.5,0,0.98,0,0,0.07,0.05,-0.07,1.95,2.68,0.49,0,3.17,37.3,37.1,0.24,0,0.49,0,1.95,0,0,0,0,0,31.2,0,0.49,3.9,3.17,0,0,0.49,0.24,0,0.25,0,0,0,0.24,0,0,2.2,1.71,0.98,0.73,0.49,0.49,1.46,33.3,0.98,0.98,0,0.98,0,2.2,0.24,0,0.49,4.39,21.7,22.7,1.95,48.8,1.46,0.49,33.3,0.98,66.7,31,132.2,75.9,2.2,1.22,0.24,2.93,1.22,37.1,5.37
"1022","Pol Lirola","ESP",23,"DF",1997,"Marseille","fr Ligue 1",34,19,1770,19.7,0.05,0,0.21,0.15,0.05,0.15,0.21,0.05,0.66,15.4,0.1,0.08,0.5,20.9,0,0,0.07,0.07,0.1,-0.02,-0.02,80.4,677.7,170.9,25.1,28.1,89.3,14.5,17.4,83.1,2.94,5.13,57.4,0.1,0.14,0.19,-0.04,1.32,2.84,1.62,0.76,4.16,56.4,48.8,7.46,0.61,0.15,0.25,3.6,6.75,0.1,0.05,0,0,45.4,0.15,1.78,2.84,2.59,0.1,0.05,0.1,0,0,0.2,0.2,0,0,0,0,0,1.42,0.81,0.76,0.46,0.2,0.66,1.42,46.4,0.76,0.76,0,0.76,0.66,2.08,1.12,0,1.52,12.6,29.9,24.2,3.05,66,2.34,1.27,54.3,1.07,45.7,42.8,250.9,133.5,3.76,1.68,0.66,1.93,0.86,45.2,10.4
"1023","Valentino Livramento","ENG",18,"DF",2002,"Southampton","eng Premier League",28,25,2202,24.5,0.08,0,0.17,0.08,0.04,0.08,0.17,0.04,0.49,25,0.12,0.08,0.33,15.9,0,0,0.06,0.06,0.12,-0.02,-0.02,74.1,516.3,180.8,20.7,24,86.4,11.5,15.8,72.4,1.76,4.33,40.6,0.04,0.11,0.11,-0.07,0.82,1.8,1.1,0.33,3.27,47.6,38.9,8.69,0.65,0.08,0.12,2.53,8.04,0,0,0,0,35.3,0.04,1.06,1.8,1.51,0,0.08,0.04,0.12,0.04,0.12,0.04,0,0.04,0,0.04,0,2.2,1.14,1.22,0.73,0.24,1.1,1.84,60,0.73,0.94,0.37,0.57,1.92,4.12,2.04,0.04,3.02,16.6,27.6,18,1.92,60.7,2.24,1.22,54.5,1.02,45.5,30.3,208,111.1,3.22,2.2,0.65,2.12,0.78,31.1,4.82
"1024","Dejan Ljubicic","AUT",23,"MF",1997,"Köln","de Bundesliga",30,22,1969,21.9,0.18,0,0.21,0.18,0.14,0.18,0.21,0.14,1.32,24.1,0.32,0.1,0.43,20.1,0,0,0.08,0.08,0.06,0.05,0.05,69,367.7,120.3,11,13.6,80.8,8.9,12.3,72.2,1.74,3.2,54.3,0.05,0.12,0.17,-0.08,1.28,1.92,1.6,0.55,4.43,32.7,32.2,0.37,0.23,0.05,0.27,2.69,0.09,0,0,0,0,22.6,0.18,1.51,3.47,2.92,0.05,0.14,0.23,0.14,0,0.32,0.27,0,0,0.05,0,0,1.51,0.87,0.55,0.59,0.37,0.59,2.24,26.5,1.64,0.87,0.05,0.82,0.68,2.19,0.5,0,0.73,7.76,19.2,16.5,2.97,42.7,2.65,1.46,55.2,1.19,44.8,24.7,146.9,79.3,2.74,1.64,0.64,2.15,1.1,28,6.21
"1025","Diego Llorente","ESP",27,"DF",1993,"Leeds United","eng Premier League",28,28,2340,26,0.27,0,0.04,0.12,0.12,0.12,0.04,0.12,0.38,30,0.12,0.3,1,10.6,0,0,0.04,0.04,0.1,0.08,0.08,81.2,845.7,287.4,12.9,15,86.1,24.9,27.4,91,4.54,8.65,52.4,0,0,0.01,0,0.08,2.62,0.12,0,3.73,52.8,51.1,1.58,1.15,0.04,0.62,0.08,0.42,0,0,0,0,42.9,0.12,0.77,0.35,0.27,0,0,0,0.04,0.04,0,0,0,0,0,0,0,2.04,1.19,1.23,0.73,0.08,1.27,1.81,70.2,0.54,1.35,0.65,0.69,1.54,3.58,2.96,0.08,7.42,34.5,27.7,1.88,0.42,63.6,0.5,0.31,61.5,0.19,38.5,37.7,249.8,165.9,0.77,0.08,0.04,0.77,0.12,39,0.04
"1026","Marcos Llorente","ESP",26,"MF",1995,"Atlético Madrid","es La Liga",29,29,2447,27.2,0.18,0,0.12,0.07,0,0.07,0.12,0,0.59,12.5,0.07,0,0,20.9,0,0,0.03,0.03,0.04,-0.03,-0.03,79.5,535,154.6,22.5,25.4,88.7,10.6,13.9,76.5,2.43,4.04,60,0.07,0.1,0.11,-0.02,0.96,1.99,1.07,0.37,2.98,48.8,42.6,5.99,0,0.04,0.22,2.61,5.92,0,0,0,0,38.8,0.22,1.25,2.1,1.88,0.11,0.04,0,0.07,0,0.18,0.18,0,0,0,0,0,1.88,0.85,0.92,0.81,0.15,1.03,1.58,65.1,0.55,1.21,0.37,0.85,0.99,2.87,1.62,0,2.17,15,25.1,18.8,2.06,58.4,1.1,0.7,63.3,0.4,36.7,32.2,166,77.8,2.32,1.36,0.4,1.47,0.81,36,6.65
"1027","Giovani Lo Celso","ARG",25,"FW",1996,"Villarreal","es La Liga",16,11,994,11,0.27,0,0.32,0.18,0.09,0.18,0.32,0.09,1.64,33.3,0.54,0.06,0.17,18.1,0.09,0,0.1,0.1,0.06,-0.01,-0.01,81.3,617.6,168.5,20,23,87,13.4,14.8,90.2,3.36,4.64,72.5,0.09,0.22,0.22,-0.13,1.55,4.55,2.09,0.09,6.18,48.5,45.7,2.36,0.91,0.36,0.27,1.36,0.09,0.82,0.36,0,0,39.5,0.45,1.55,3.18,2.27,0.27,0.27,0.18,0.18,0,0.18,0,0.09,0,0,0.09,0,2,1.09,0.73,0.91,0.36,0.82,2,40.9,1.18,0.36,0,0.36,0.45,2.45,0.27,0,0.73,7.18,28.6,24.3,3.64,59.3,3.64,2.36,65,1.27,35,40.5,250,102.1,3,1.45,0.64,2.27,1.55,47,6.45
"1028","Stanislav Lobotka","SVK",26,"MF",1994,"Napoli","it Serie A",23,19,1686,18.7,0.11,0,0.04,0.05,0.05,0.05,0.04,0.05,0.11,50,0.05,0.5,1,25.5,0,0,0.01,0.01,0.06,0.05,0.05,93.5,1033,259.7,38.9,40.4,96.3,25.5,27.6,92.2,3.05,3.48,87.7,0,0.04,0.05,-0.04,0.8,6.84,0.32,0,4.97,75.9,74.9,0.96,0.91,0.11,0.11,0.16,0.05,0,0,0,0,71,0,0.48,2.03,1.93,0,0,0,0.11,0,0.05,0,0,0,0,0.05,0,2.09,1.28,0.86,1.07,0.16,0.75,1.93,38.9,1.18,0.48,0.05,0.43,0.64,2.73,0.7,0.05,2.57,14.8,58.6,9.89,0.16,82.4,0.86,0.7,81.3,0.16,18.8,60.4,290.3,128.3,1.34,1.87,0,0.7,0.64,66.8,0.7
"1029","Jürgen Locadia","NED",27,"FW",1993,"Bochum","de Bundesliga",11,4,444,4.9,0,0,0.35,0.61,0.2,0.41,0.51,0.41,3.47,41.2,1.42,0.06,0.14,19.8,0,0.2,0.35,0.18,0.06,0.06,0.02,75.6,304.7,65.7,10,12.2,81.7,6.53,7.96,82.1,1.84,2.65,69.2,0.2,0.16,0.04,0.04,1.63,1.84,0.41,0,3.27,25.1,22.2,2.65,0,0.2,0.61,0,0.41,0,0,0,0,19,0.2,0.82,3.67,2.24,0,0,1.02,0.41,0,0.61,0.41,0,0,0.2,0,0,0.82,0.41,0.2,0,0.61,0.2,0.2,100,0,0.2,0,0.2,0.2,1.02,0.41,0,0.41,1.02,20.8,16.3,4.49,37.3,0.41,0,0,0.41,100,24.1,93.3,32.9,1.22,1.02,0.82,4.49,2.24,29.6,5.1
"1030","Manuel Locatelli","ITA",23,"MF",1998,"Juventus","it Serie A",31,23,2160,24,0.25,0,0.15,0.25,0.12,0.25,0.15,0.13,0.88,14.3,0.12,0.14,1,19,0,0,0.09,0.09,0.1,0.03,0.03,85.1,931.3,333.6,22.3,24.8,89.7,22,24.6,89.3,5.75,8.33,69,0.13,0.05,0.07,0.07,0.75,6,1.04,0.04,6.13,59.8,57.1,2.42,2.25,0.25,0.92,0.33,0.08,0,0,0,0,50.9,0.25,0.67,2.38,2.17,0,0.04,0.13,0,0.04,0.33,0.29,0,0,0.04,0,0,1.83,1.04,0.88,0.67,0.29,0.88,1.96,44.7,1.08,1.79,0.88,0.92,0.92,2.75,1.38,0,3.58,18.5,40.7,11.2,1.17,69.8,1.17,0.79,67.9,0.38,32.1,38.3,144.5,53.2,0.63,0.88,0.17,1.08,0.67,49.3,1.33
"1031","Banzouzi Locko","FRA",19,"MF",2002,"Reims","fr Ligue 1",24,11,1011,11.2,0.36,0,0.04,0.18,0.09,0.18,0.04,0.09,0.63,28.6,0.18,0.14,0.5,24.1,0,0,0.02,0.02,0.03,0.07,0.07,76.4,467,174.2,18.1,21.9,82.9,9.29,12.3,75.4,2.32,3.75,61.9,0.09,0.03,0.04,0.06,0.63,1.96,0.54,0.09,3.48,40.9,33.9,6.7,0.27,0,0.63,0.89,6.43,0,0,0,0,31.3,0.27,0.8,1.79,1.43,0.09,0.18,0,0,0.09,0.62,0.54,0.09,0,0,0,0,2.5,1.7,1.16,0.98,0.36,1.25,2.14,58.3,0.89,1.79,0.71,1.07,1.25,3.75,1.34,0,2.05,15.7,24.7,12.5,0.71,51.8,1.96,1.34,68.2,0.63,31.8,29.6,197.4,120.2,2.68,1.96,0.27,1.16,1.96,28.8,3.57
"1032","Renan Lodi","BRA",23,"DF",1998,"Atlético Madrid","es La Liga",29,13,1181,13.1,0.31,0,0.19,0.3,0.15,0.3,0.19,0.15,0.76,40,0.3,0.2,0.5,17.1,0,0,0.05,0.05,0.07,0.1,0.1,77.6,541.9,134.4,21.3,24.1,88.3,12.7,15.8,80.2,1.45,3.97,36.5,0.15,0.14,0.16,0.02,0.84,1.22,0.69,0.23,2.44,47.7,40,7.71,0.84,0,0.46,3.66,6.72,0.15,0,0,0,37,0,1.3,1.53,1.37,0.08,0,0,0.08,0,0.23,0.23,0,0,0,0,0,2.37,1.37,1.07,0.99,0.31,0.84,2.06,40.7,1.22,1.68,0.31,1.37,0.99,3.36,1.45,0.08,2.14,16.9,24.7,18.5,2.75,59.4,2.37,1.3,54.8,1.07,45.2,32.1,204,108.9,2.98,1.53,0.38,1.68,0.92,36.4,6.72
"1033","Ruben Loftus-Cheek","ENG",25,"MF",1996,"Chelsea","eng Premier League",24,13,1394,15.5,0.06,0,0.23,0.13,0,0.13,0.24,0,1.23,31.6,0.39,0,0,18.6,0,0,0.08,0.08,0.06,-0.08,-0.08,89.3,840.3,196.5,32.7,35.3,92.7,20.3,22.9,88.7,2.13,2.71,78.6,0.13,0.15,0.15,-0.03,1.16,4.97,1.29,0,6.97,63.3,61.7,1.55,0.65,0.32,0.06,0.45,0.9,0,0,0,0,56.5,0.06,0.45,3.61,2.84,0,0.19,0.26,0.19,0.13,0.39,0.19,0,0,0.13,0,0.06,1.87,0.65,1.03,0.71,0.13,0.65,1.23,52.6,0.58,0.97,0.39,0.58,0.71,2.58,1.1,0,1.29,11.7,44,21.1,2.58,75.6,3.87,2.71,70,1.16,30,46.7,283.8,171,4.45,3.23,0.58,1.74,2.13,57.2,3.42
"1034","Kevin Long","IRL",30,"DF",1990,"Burnley","eng Premier League",6,4,410,4.6,0.22,0,0.04,0,0,0,0.03,0,0.87,0,0,0,0,13.3,0,0,0.04,0.04,0.04,-0.04,-0.04,77.5,368.7,130.7,4.13,4.78,86.4,10,11.7,85.2,3.04,4.57,66.7,0,0,0,0,0,0.43,0,0,0.87,22.2,22,0.22,0.22,0,0,0,0,0,0,0,0,17.2,0,0.22,0.22,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0.43,0.22,0.43,0,0.22,0.43,50,0.22,0.87,0.22,0.65,0.22,0.87,4.35,0,5.43,17.6,11.5,1.52,1.52,30.7,0,0,0,0,0,11.3,62.2,27.2,0.22,0,0,0.43,0,15,0
"1035","Sean Longstaff","ENG",23,"MF",1997,"Newcastle Utd","eng Premier League",24,15,1464,16.3,0.06,0,0.1,0.12,0.06,0.12,0.1,0.06,0.92,13.3,0.12,0.07,0.5,26,0.06,0,0.04,0.04,0.05,0.02,0.02,79.6,512.1,141.3,14,16.6,84.5,10.9,12.3,88.5,3.19,5.46,58.4,0.06,0.05,0.05,0.01,0.43,2.7,0.25,0,2.64,37.1,35,1.9,0.86,0.06,0.74,0.67,0.06,0.06,0.06,0,0,29.5,0.12,0.61,1.6,1.35,0.12,0,0.06,0,0.06,0.18,0.12,0.06,0,0,0,0,3.31,2.09,1.1,1.9,0.31,1.47,3.99,36.9,2.52,1.1,0.37,0.74,0.55,3.87,1.1,0,2.64,12.3,26.9,8.47,0.86,47.5,0.67,0.37,54.5,0.31,45.5,22.8,83.8,26.3,0.12,0.43,0.06,1.35,1.1,26.4,0.92
"1036","Ademola Lookman","NGA",23,"FW",1997,"Leicester City","eng Premier League",26,16,1453,16.1,0.12,0,0.4,0.37,0.37,0.37,0.4,0.37,1.61,46.2,0.74,0.23,0.5,15,0,0,0.28,0.28,0.17,0.09,0.09,75.6,318.3,81.1,16.1,19.4,83.1,7.02,8.45,83.1,0.5,1.3,38.1,0,0.12,0.11,-0.12,1.43,1.18,1.24,0.06,3.35,33.3,31.7,1.3,0.31,0.19,0.06,1.12,0.37,0.25,0.12,0.06,0,25.2,0.31,1.61,2.86,2.17,0.06,0.25,0.19,0.19,0,0.19,0.12,0,0,0,0.06,0,1.99,0.87,0.62,0.81,0.56,0.62,1.74,35.7,1.12,1.18,0.06,1.12,0.62,2.61,0.25,0,0.43,5.78,20.3,21.4,5.47,46.9,3.6,2.36,65.5,1.24,34.5,31.1,166.5,79.4,2.67,1.61,1.49,3.66,3.23,34.7,8.63
"1037","David López","ESP",31,"MF",1989,"Espanyol","es La Liga",18,8,743,8.3,0.12,0,0.1,0,0,0,0.1,0,0.6,80,0.48,0,0,13.6,0,0,0.05,0.05,0.09,-0.05,-0.05,82.9,694.2,242.3,20,22.8,87.8,18.9,21,90.2,2.17,4.7,46.2,0,0.05,0.05,-0.05,0.36,2.65,0.12,0,2.77,51.4,49.9,1.57,1.45,0.12,0.12,0,0.12,0,0,0,0,42.7,0,0.72,1.33,1.2,0,0,0.12,0,0,0.12,0.12,0,0,0,0,0,2.17,1.57,1.08,0.96,0.12,1.08,1.93,56.3,0.84,1.2,0.96,0.24,1.2,3.37,3.01,0.24,5.06,26.6,31.4,3.49,0.84,61.2,0.24,0.24,100,0,0,31,110.4,56.3,0.24,0.12,0,0.84,0.24,36.9,0.72
"1038","Javi López","ESP",19,"DF",2002,"Alavés","es La Liga",9,4,462,5.1,0.39,0,0.08,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.1,561.2,205.9,13.3,14.9,89.5,12.4,16.7,74.1,3.92,9.02,43.5,0,0.08,0.1,-0.08,0.78,2.55,0.98,0.59,2.55,42.7,32.4,10.2,1.57,0,0.39,2.75,8.63,0,0,0,0,30.4,0.2,0.59,1.18,0.78,0.2,0,0,0.2,0,0.19,0.2,0,0,0,0,0,1.57,1.18,1.18,0.39,0,0.78,1.18,66.7,0.39,1.37,0.2,1.18,0.78,2.35,2.94,0,3.73,16.5,28.2,8.82,0,53.5,1.18,0.39,33.3,0.78,66.7,24.3,157.3,64.1,1.18,1.37,0,1.18,1.18,29.8,3.53
"1039","Maxime Lopez","FRA",23,"MF",1997,"Sassuolo","it Serie A",35,33,2938,32.6,0.43,0,0.12,0.09,0.06,0.09,0.12,0.06,0.49,37.5,0.18,0.13,0.33,22.6,0,0,0.05,0.05,0.09,0.02,0.02,90.7,1119.8,389,39,41,95,26,28.4,91.6,4.75,6.1,77.9,0.03,0.07,0.06,-0.04,1.5,7.79,0.46,0.12,7.24,79.7,77.4,2.3,2.12,0.03,0.15,0.52,0.12,0.06,0,0.03,0,72.3,0.06,0.71,3.28,2.98,0,0.12,0.06,0.03,0.09,0.31,0.31,0,0,0,0,0,2.12,1.1,1.23,0.83,0.06,1.07,2.67,40.2,1.6,1.01,0.21,0.8,1.29,3.4,1.17,0.03,3.93,22.9,54.7,12.1,0.74,88.8,1.41,0.92,65.2,0.49,34.8,57.6,323.4,159.3,2.36,2.06,0.28,1.13,0.86,68.4,1.26
"1040","Unai López","ESP",25,"MF",1995,"Rayo Vallecano","es La Liga",27,13,1160,12.9,0.39,0,0.2,0,0,0,0.2,0,1.47,36.8,0.54,0,0,24.6,0.31,0,0.09,0.09,0.06,-0.09,-0.09,82,1000.2,244.9,23.9,25.5,93.6,18.7,20.9,89.3,8.53,14.4,59.1,0,0.11,0.16,-0.11,1.86,4.5,0.93,0.23,5.27,65.2,57.4,7.29,2.56,0.16,1.32,4.81,0.23,3.72,1.55,1.24,0.23,53.5,0.47,0.54,4.11,2.79,0.85,0.08,0.08,0.16,0.16,0.16,0.08,0.08,0,0,0,0,1.47,0.7,0.47,0.78,0.23,0.78,2.56,30.3,1.78,0.54,0,0.54,0.78,2.25,0.62,0.08,1.24,10.2,44.7,20.1,1.4,74.5,2.09,1.09,51.9,1.01,48.1,39.1,175.9,80.6,1.24,1.47,0.23,1.4,1.55,52.6,2.79
"1041","Dion Lopy","SEN",19,"MF",2002,"Reims","fr Ligue 1",26,19,1642,18.2,0.22,0,0.07,0,0,0,0.07,0,0.88,12.5,0.11,0,0,23.8,0,0,0.05,0.05,0.06,-0.05,-0.05,86.3,519.2,103.7,13.6,15.2,89.2,10.7,11.6,91.9,3.96,4.89,80.9,0,0.02,0.02,-0.02,0.49,2.31,0,0,2.75,34.2,33.6,0.49,0.49,0,1.04,0.22,0,0,0,0,0,29.5,0.05,0.77,1.21,0.93,0.05,0.22,0,0,0,0.11,0.11,0,0,0,0,0,2.91,1.59,1.21,1.32,0.38,1.15,2.91,39.6,1.76,1.1,0.22,0.88,1.21,4.12,0.93,0,2.03,12.4,26.3,7.91,0.93,45.5,1.65,0.99,60,0.66,40,30,182.1,76,0.88,0.88,0.05,2.09,1.48,29.2,1.7
"1042","Anthony Losilla","FRA",35,"MF",1986,"Bochum","de Bundesliga",33,33,2935,32.6,0.15,0,0.09,0.06,0.06,0.06,0.09,0.06,1.04,26.5,0.28,0.06,0.22,19.3,0,0,0.07,0.07,0.06,-0.01,-0.01,76.3,583.8,154.9,10.4,13.6,76.7,13.4,16.5,81.1,4.97,6.41,77.5,0,0.02,0.04,-0.02,0.49,1.69,0.34,0.06,2.94,38.6,37.5,0.92,0.86,0,0.58,0.31,0.06,0,0,0,0,29.4,0.15,0.34,1.38,1.13,0,0.03,0.09,0.06,0.06,0.06,0.03,0,0.03,0,0,0,1.99,1.2,0.89,0.92,0.18,1.04,2.12,49.3,1.07,0.98,0.28,0.71,2.15,4.14,1.63,0.03,2.61,15.5,27.8,6.13,1.2,48.8,0.86,0.58,67.9,0.28,32.1,19.7,89.1,33.1,0.43,0.25,0.09,0.98,0.49,22.3,0.77
"1043","Jordan Lotomba","SUI",22,"DF",1998,"Nice","fr Ligue 1",30,19,1782,19.8,0.2,0,0.1,0,0,0,0.1,0,0.45,22.2,0.1,0,0,17.1,0,0,0.04,0.04,0.09,-0.04,-0.04,80.9,599.6,231.8,25.4,28.2,90,12.4,15.2,81.7,2.22,3.74,59.5,0,0.06,0.08,-0.06,0.71,2.78,0.76,0.56,3.99,51.1,41.2,9.7,0.96,0,0.15,2.22,8.74,0,0,0,0,41.3,0.2,1.62,1.87,1.52,0.05,0.2,0.05,0.05,0,0.2,0.2,0,0,0,0,0,1.67,0.86,1.06,0.45,0.15,0.81,1.52,53.3,0.71,0.86,0.2,0.66,0.61,2.27,1.41,0,2.53,16.4,27.4,17.1,1.31,60.3,2.07,1.11,53.7,0.96,46.3,36.6,217.4,114.3,2.53,1.97,0.4,1.52,0.86,36.6,5.1
"1044","Mamadou Loum","SEN",24,"MF",1996,"Alavés","es La Liga",32,26,2312,25.7,0.39,0,0.13,0.08,0.08,0.08,0.13,0.08,1.28,24.2,0.31,0.06,0.25,21.3,0,0,0.11,0.11,0.09,-0.04,-0.04,72.6,430,127.1,10.1,12.9,78.2,10.3,13,79.6,2.92,5.02,58.1,0,0.02,0.02,-0.02,0.35,2.33,0.12,0.04,2.8,32.5,32.1,0.35,0.35,0.16,0.43,0.16,0,0,0,0,0,23.6,0.04,0.62,0.86,0.58,0,0.08,0.19,0,0,0,0,0,0,0,0,0,1.91,0.86,1.01,0.86,0.04,0.66,1.75,37.8,1.09,1.17,0.43,0.74,1.44,3.35,2.65,0.04,3.46,12.8,28.1,5.37,1.13,45.7,1.63,1.01,61.9,0.62,38.1,21.4,97.7,42.5,0.51,0.54,0.08,1.83,0.97,22.9,0.54
"1045","Imran Louza","MAR",22,"MF",1999,"Watford","eng Premier League",20,17,1416,15.7,0.38,0,0.15,0,0,0,0.15,0,1.08,23.5,0.25,0,0,27.5,0.38,0,0.08,0.08,0.07,-0.08,-0.08,73.3,615.7,196.7,13.2,16.2,81.9,14.4,18.1,79.6,4.78,9.11,52.4,0,0.07,0.07,-0.07,0.96,4.01,0.51,0.06,4.27,45.3,39.9,5.35,2.55,0.13,0.45,3.44,0.45,1.97,1.46,0.38,0,33.2,0,0.57,2.17,1.02,0.7,0.06,0.13,0.06,0.19,0.13,0.13,0,0,0,0,0,2.61,1.34,1.15,1.27,0.19,1.02,2.42,42.1,1.4,1.78,0.38,1.4,2.68,5.29,1.27,0.06,2.68,15,34.3,10.2,0.64,58,1.53,0.89,58.3,0.64,41.7,24.5,133,60.4,1.08,0.57,0.13,1.21,0.57,28.4,1.53
